Year,Adj_Close,Adj_High,Adj_Low,Adj_Open,Adj_Volume,CSR Strategy Score,Close,Community Score,Date,Dividend,ESG Combined Score,ESG Controversies Score,ESG Period Last Update Date,ESG Score,Emissions Score,Environment Pillar Score,Governance Pillar Score,High,Human Rights Score,Innovation Score,Instrument,Low,Management Score,Open,Period End Date,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Split,Volume,Workforce Score,log_ret
2016,10.888013538020527,10.977470170278337,10.781828142741666,10.87536518482473,2971054.8253968256,35.8157467532467,11.943353174603173,77.4080560420315,2016-12-31,0.0010317460317460319,38.1900009879568,57.7057793345008,2019-08-16T00:00:00,38.1900009879568,42.8196147110332,34.2356031729679,28.6755508835426,12.04158928571429,36.6024518388791,31.4360770577933,ISBC.O,11.826848809523806,27.0900974025974,11.92952380952382,2016-12-31,42.4693520140105,27.6707530647986,28.3887987012987,50.1516982807528,1.0,2971054.8253968256,43.6952714535901,0.0005429358182138257
2017,12.843608343050455,12.956234997936239,12.724782847831634,12.844770652778857,2542264.645418327,36.2838332114118,13.771294820717133,75.4414125200642,2017-12-31,0.0013147410358565735,42.4041397725097,57.7849117174959,2019-09-06T00:00:00,42.4041397725097,37.8009630818619,31.9847039939571,48.5555302385263,13.892112749003989,34.6709470304975,31.2199036918138,ISBC.O,13.643819521912341,57.8090709583028,13.772549800796812,2017-12-31,41.0112359550561,26.4044943820224,31.3277249451353,47.0983202586304,1.0,2542264.645418327,39.0850722311396,7.665112079612428e-05
2018,12.67016272652118,12.79181086236589,12.573267833534858,12.685446380396085,2288528.055276382,,13.273768844221104,,,0.00135678391959799,,,,,,,,13.401265326633167,,,,13.172140201005023,,13.28974874371859,,,,,,1.0,2288528.055276382,,-0.0008681212555840877
2013,20.960072749964453,21.24051972096518,20.570003275548626,20.887541909010675,389906.1538461539,,22.205992307692302,,,0.00032692307692307697,,,,,,,,22.503133076923074,,,,21.792693076923083,,22.129153846153848,,,,,,1.0,389906.1538461539,,0.0018786714760635973
2014,28.03808731777797,28.321602437765836,27.716371077328635,28.00615676761079,686949.1825396825,,29.5620238095238,,,0.0007738095238095238,,,,,,,,29.86099880952381,,,,29.22270198412698,,29.528293650793646,,,,,,1.0,686949.1825396825,,0.0016495827761308056
2015,37.07106675079101,37.418926806357895,36.694680854786064,37.06495712167245,1090106.242063492,30.9241706161137,38.81565476190475,92.4,2015-12-31,0.0012301587301587302,60.5881895734597,55.6,2019-09-27T00:00:00,60.5881895734597,60.8,51.8705882352941,59.7875067982285,39.179784523809495,35.8,36.8,CDW.O,38.42156269841273,79.8874407582938,38.809206349206335,2015-12-31,43.0,57.2,23.7855450236966,69.6253521126761,1.0,1090106.242063492,79.4,0.0007388022035866031
2016,41.74702292310939,42.11272645600034,41.24942705476954,41.68436268721892,963124.2936507936,35.8157467532467,43.29813492063493,92.7914110429447,2016-12-31,0.0019146825396825398,67.2057524051868,57.5153374233128,2019-09-27T00:00:00,67.2057524051868,65.4907975460122,55.7650667629014,66.0371646795827,43.67771269841268,34.6625766871165,39.1104294478527,CDW.O,42.78173055555555,84.0300324675324,43.233134920634924,2016-12-31,84.2024539877301,61.8098159509202,36.6274350649351,79.1670267000777,1.0,963124.2936507936,82.6687116564417,0.0008936305814380263
2017,60.330564786966555,60.80720891219766,59.7676227031066,60.29849812063585,802584.3027888446,36.2838332114118,61.893784860557815,71.7506631299734,2017-12-31,0.002749003984063745,64.0748318162678,58.6206896551724,2019-09-27T00:00:00,64.0748318162678,43.6339522546419,53.0308940552348,66.7909866046266,62.38285338645422,32.7586206896551,39.1246684350132,CDW.O,61.31648087649408,84.912216532553,61.8609960159363,2017-12-31,85.1458885941644,77.1883289124668,37.2165325530358,72.3185265438786,1.0,802584.3027888446,78.1167108753315,0.0011929324638316403
2018,78.09260860102738,78.84022253925663,77.29776271715949,78.0712706827233,829189.0100502513,,79.31595477386932,,,0.0031658291457286433,,,,,,,,80.07539447236181,,,,78.5083904522613,,79.29407035175876,,,,,,1.0,829189.0100502513,,0.0008619854177007456
2015,128.21577464788726,134.1190366197183,122.45949295774645,128.03521126760572,82361.40316901408,,16.026971830985907,,,0.0,,,,,,,,16.764879577464786,,,,15.307436619718306,,16.004401408450715,,,,,,1.0,658891.2253521127,,-0.0035873861218540023
